county,forfeitures completed,amount disbursed,population,amount disbursed per capita,per capita income,white,black,american indian or alaskan native,asian,native hawaiian or pacific islander,hispanic or latino,other race,multiracial
alameda,316,2601248.92,1638215,1.5878556355545517,34937,46.2,12.5,0.5,26.2,0.8,22.2,8.8,5.0
alpine,0,0.00,1110,0,29576,66.1,0.0,20.3,3.3,1.8,7.0,5.3,3.2
amador,14,299853.81,37001,8.10393800167563,28030,87.5,2.3,2.3,1.4,0.2,12.2,3.7,2.6
butte,37,441786.17,225411,1.9599139793532703,23431,75.2,1.5,1.5,4.2,0.2,14.1,3.4,5.6
calaveras,1,4000.00,44828,0.0892299455697332,28667,91.0,1.1,1.2,1.3,0.0,10.2,,2.9
colusa,7,69399.00,21482,3.2305651242901035,21271,68.0,1.0,1.4,1.2,0.2,53.8,23.0,5.3
contra costa,121,1105556.72,1126745,0.9811951417578955,38141,63.2,9.1,0.4,14.3,0.5,23.9,7.7,4.8
del norte,0,0.00,27254,0,19247,72.8,3.3,5.5,3.1,0.9,17.5,8.2,6.1
el dorado,10,354011.83,184452,1.9192626265912,34385,87.8,0.8,1.0,3.5,0.1,11.8,3.5,3.4
fresno,0,0.00,974861,0,20638,60.0,5.1,1.0,9.5,0.1,49.8,20.4,3.9
glenn,3,131596.00,28017,4.697005389584895,21254,78.3,0.9,2.7,2.3,0.0,36.6,12.3,3.4
humboldt,80,1644534.50,135727,12.116487508012407,24209,82.7,1.2,5.8,2.3,0.3,9.6,3.0,4.7
imperial,14,672996.50,180191,3.7349062938770525,16593,67.4,3.5,1.8,1.6,0.0,79.6,22.5,3.2
inyo,0,0.00,18260,0,27532,77.7,1.1,10.0,1.5,0.4,18.7,7.4,1.9
kern,35,491324.94,882176,0.5569466183618689,20167,69.0,5.7,1.1,4.0,0.1,48.5,16.5,3.6
kings,7,117077.56,150965,0.7755278375782466,18296,72.0,7.2,1.3,3.8,0.2,50.2,11.7,3.8
lake,47,385630.70,64591,5.970347262002447,22238,84.6,2.2,3.2,1.1,0.2,16.7,5.3,3.3
lassen,3,25000.00,31345,0.7975753708725475,19339,70.0,8.7,3.7,1.3,0.5,17.4,12.8,3.0
los angeles,390,6984310.05,10170292,0.6867364329362421,27954,52.4,8.6,0.5,13.8,0.3,47.5,21.1,3.4
madera,20,166410.00,154998,1.0736267564742772,18817,80.9,3.3,1.7,2.0,0.5,52.8,8.1,3.5
marin,10,266588.00,261221,1.0205458213543321,54605,79.9,3.0,0.3,5.6,0.2,14.9,7.7,3.3
mariposa,0,0.00,17531,0,27209,89.4,1.0,1.8,1.1,0.3,9.4,2.5,3.9
mendocino,105,1232727.16,87649,14.06436080274732,23585,82.9,1.1,4.9,1.8,0.2,21.7,5.9,3.2
merced,21,569060.00,268455,2.119759363766739,18304,67.1,3.9,1.0,7.5,0.2,54.4,17.3,3.0
modoc,0,0.00,8965,0,20769,87.5,1.1,3.4,0.8,0.1,13.5,4.1,3.0
mono,0,0.00,13909,0,28789,80.7,1.3,4.5,0.6,0.3,25.8,10.4,2.2
monterey,1,9477.90,433898,0.0218436130150404,25508,72.0,3.1,0.9,6.2,0.5,54.6,13.7,3.6
napa,26,213203.16,142456,1.4966246419947211,35309,81.3,2.0,0.7,6.8,0.3,31.5,5.7,3.2
nevada,9,458534.00,98877,4.63741820645853,31607,92.4,0.5,1.2,1.4,0.2,8.3,1.8,2.5
orange,193,1863047.78,3169776,0.5877537655657687,34416,62.0,1.7,0.4,17.8,0.3,33.3,14.9,2.9
placer,46,423157.60,375391,1.127244925957202,35583,84.7,1.3,0.8,6.0,0.2,12.6,3.3,3.7
plumas,4,2357.31,18409,0.12805203976315932,28104,91.5,1.4,2.8,1.0,0.1,8.0,0.9,2.4
riverside,106,1384764.50,2361026,0.5865096360649988,24516,66.0,6.3,1.0,5.9,0.3,45.0,16.7,3.8
sacramento,526,7282047.91,1501335,4.850381766894131,27180,60.0,10.2,0.9,14.3,1.0,21.2,7.9,5.6
san benito,0,0.00,58792,0,26300,76.2,1.3,1.3,2.4,0.0,55.6,14.4,4.4
san bernardino,119,4072603.99,2128133,1.9136980583450378,21932,61.3,8.7,1.0,6.3,0.3,48.6,18.0,4.4
san diego,76,2671266.05,3299521,0.8095920741222741,30955,71.3,5.0,0.7,10.9,0.5,31.6,7.2,4.4
san francisco,172,1009665.83,864816,1.167492079239977,46777,48.5,6.1,0.5,33.3,0.4,15.1,6.6,4.7
san joaquin,91,2361168.30,726106,3.251823149788047,22857,59.3,7.4,1.0,14.4,0.5,38.3,11.6,5.8
san luis obispo,11,51316.17,281401,0.18235958649756043,30204,83.9,2.2,1.0,3.2,0.1,20.4,6.2,3.3
san mateo,89,902980.58,765135,1.1801585079757166,45346,59.6,2.9,0.3,24.6,1.5,24.9,6.7,4.4
santa barbara,0,0.00,444769,0,30330,76.4,1.8,1.0,5.0,0.2,41.9,11.9,3.7
santa clara,57,2467646.48,1918044,1.2865432075593677,40698,50.9,2.6,0.6,31.8,0.4,26.6,9.7,4.1
santa cruz,9,77591.73,274146,0.28303068437985596,32975,82.6,1.0,0.5,4.2,0.2,31.4,7.7,3.9
shasta,54,707598.10,179533,3.9413261071780674,23691,87.9,0.9,2.2,2.6,0.2,8.3,1.9,4.3
sierra,0,0.00,2967,0,26137,92.5,1.2,0.3,0.1,0.0,7.5,5.5,0.5
siskiyou,20,261201.22,43554,5.997180970748955,22335,87.1,1.2,2.9,1.3,0.3,10.2,1.2,6.1
solano,88,307430.39,436092,0.7049668189281161,29367,52.1,14.6,0.6,14.4,0.8,23.6,10.5,7.1
sonoma,55,2067224.29,502146,4.116779362974115,33119,81.6,1.5,1.2,4.0,0.3,24.3,7.9,3.4
stanislaus,40,266672.25,538388,0.4953161103144944,21820,76.4,2.9,1.0,5.2,0.7,41.3,9.6,4.2
sutter,18,367388.86,96463,3.808598737339705,22464,65.8,1.9,1.5,13.8,0.3,28.3,10.9,5.8
tehama,20,375469.76,63308,5.930842231629494,20689,85.1,0.7,2.3,1.2,0.1,21.4,6.6,4.0
trinity,13,700361.63,13069,53.589534776953094,22551,89.0,0.4,1.7,1.2,0.3,6.7,0.9,6.5
